date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:02	124/124	---MCZ	200	added ('OK')	text/plain	date:Mon,%2010%20Apr%202023%2021:02:01%20GMT	https://apresentacao.pegaocardapio.com.br/robots.txt		(from )
18:02:02	139513/139513	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Apr%202023%2021:02:01%20GMT	https://apresentacao.pegaocardapio.com.br/	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/index.html	(from )
18:02:02	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f8892291b4c9%22	https://apresentacao.pegaocardapio.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-includes/css/dist/block-library/style.minae48.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:02	57180/57180	---M--	200	added ('OK')	text/css	etag:%22df5c-5bafb5b55ba62%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.min.css?ver=5.12.0	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/fontawesome/css/all.minb683.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:02	58129/58129	---M--	200	added ('OK')	text/css	etag:%22e311-5bafb592ffc02%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/animatecss/animate.min.css?ver=3.7.2	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/animatecss/animate.minf3df.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:03	5859/5859	---MCZ	200	added ('OK')	application/rss+xml	etag:%220414a1396021ca8f57979837e349bd7f%22	https://apresentacao.pegaocardapio.com.br/feed/	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/feed/index.html	(from https://apresentacao.pegaocardapio.com.br/)
18:02:03	5235/5235	---M--	200	added ('OK')	text/css	etag:%221473-5bafb593cd512%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/magnific-popup/magnific-popup.min.css?ver=1.8.0	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/magnific-popup/magnific-popup.minee8b.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:03	20577/20577	---M--	200	added ('OK')	text/css	etag:%225061-5bafb594d635a%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/wpness-grid/wpness-grid.min.css?ver=1.0.0	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/gutentor/assets/library/wpness-grid/wpness-grid.min8a54.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:03	291/291	---M--	200	added ('OK')	text/css	etag:%22123-5f88922927fe9%22	https://apresentacao.pegaocardapio.com.br/wp-includes/css/classic-themes.min.css?ver=6.2	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-includes/css/classic-themes.minae48.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:03	1920/1920	---M--	200	added ('OK')	text/css	etag:%22780-5bafb56f4f082%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://apresentacao.pegaocardapio.com.br/)
18:02:05	1800/1800	---MCZ	200	added ('OK')	application/rss+xml	etag:%220414a1396021ca8f57979837e349bd7f%22	https://apresentacao.pegaocardapio.com.br/comments/feed/	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/comments/feed/index.html	(from https://apresentacao.pegaocardapio.com.br/)
18:02:05	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Mon,%2010%20Apr%202023%2021:02:05%20GMT	https://printjs-4de6.kxcdn.com/print.min.css?ver=1.8.6	C:/Meus%20Sites/Plataforma/printjs-4de6.kxcdn.com/print.min.710f0.delayed	(from https://apresentacao.pegaocardapio.com.br/)
18:02:05	35607/35607	---M--	200	added ('OK')	text/css	etag:%228b17-5bb11bc6d447e%22	https://apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/css/frontend-style.css?ver=1.8.6	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/plugins/my-delivey-wordpress/assets/css/frontend-style10f0.css	(from https://apresentacao.pegaocardapio.com.br/)
